epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.56,2.92972,2.89548,4.03848,0.00322,1,0.8164,0.17539,2.94704,3.43577,3.95691,0.000654762,0.000654762,0.000654762
2,562.27,2.28601,2.5409,3.18085,0.01193,1,0.48961,0.11176,1.29442,2.9508,2.98516,0.00129526,0.00129526,0.00129526
3,826.898,1.67725,1.93292,2.39166,0.53143,0.76829,0.53601,0.32488,1.02249,5.29432,1.9076,0.00190937,0.00190937,0.00190937
4,1093.86,1.19153,1.35184,1.86245,0.62501,0.56098,0.66673,0.51365,1.05646,3.36893,1.62126,0.0018812,0.0018812,0.0018812
5,1351.57,0.90571,1.02011,1.55511,0.86077,0.93902,0.94478,0.73482,0.71697,1.14509,1.20436,0.0018416,0.0018416,0.0018416
6,1607.68,0.75884,0.82183,1.39808,0.91979,0.9878,0.9777,0.91035,0.45469,0.71705,0.90622,0.001802,0.001802,0.001802
7,1864.18,0.64025,0.70513,1.29351,0.861,0.98205,0.94987,0.84444,0.4766,0.8195,0.93318,0.0017624,0.0017624,0.0017624
8,2129.76,0.57681,0.6154,1.24565,0.92034,0.98623,0.9619,0.90934,0.35061,0.61691,0.7748,0.0017228,0.0017228,0.0017228
9,2394.14,0.53285,0.58022,1.21207,0.96469,0.99956,0.96506,0.94166,0.30581,0.45529,0.66476,0.0016832,0.0016832,0.0016832
10,2657.18,0.46293,0.52604,1.14627,0.89895,1,0.90757,0.80762,0.4493,0.58201,0.76847,0.0016436,0.0016436,0.0016436
11,2911.39,0.42952,0.49141,1.12116,0.91988,0.9801,0.96957,0.91798,0.33834,0.5846,0.70678,0.001604,0.001604,0.001604
12,3171.03,0.41655,0.47717,1.11411,0.9287,0.9878,0.95962,0.92804,0.2966,0.53259,0.61683,0.0015644,0.0015644,0.0015644
13,3423.7,0.38306,0.45303,1.08934,0.91105,0.99923,0.96286,0.90434,0.38226,0.52531,0.75329,0.0015248,0.0015248,0.0015248
14,3686.37,0.3599,0.43424,1.07114,0.9638,1,0.98383,0.95606,0.2659,0.44776,0.62484,0.0014852,0.0014852,0.0014852
15,4365.86,0.34604,0.41472,1.05293,0.9629,1,0.97429,0.94404,0.23924,0.43359,0.57589,0.0014456,0.0014456,0.0014456
16,4630.21,0.33116,0.41252,1.05137,0.93912,1,0.97117,0.94624,0.23074,0.49651,0.57319,0.001406,0.001406,0.001406
17,4902.6,0.31521,0.41239,1.04759,0.93152,1,0.96673,0.9423,0.2548,0.529,0.58629,0.0013664,0.0013664,0.0013664
18,5172.32,0.30745,0.39067,1.03832,0.96381,1,0.97443,0.95822,0.19944,0.40284,0.51189,0.0013268,0.0013268,0.0013268
19,5443.12,0.28048,0.36851,1.02579,0.96391,1,0.97159,0.95343,0.23953,0.39091,0.54867,0.0012872,0.0012872,0.0012872
20,5709.04,0.28887,0.37147,1.01798,0.96406,0.98143,0.96557,0.94157,0.29121,0.44308,0.61153,0.0012476,0.0012476,0.0012476
21,5970.98,0.27299,0.36423,1.00925,0.96382,1,0.97381,0.95188,0.19782,0.32007,0.52164,0.001208,0.001208,0.001208
22,6235.66,0.2602,0.34762,1.00364,0.96371,1,0.97831,0.96186,0.22951,0.38971,0.5432,0.0011684,0.0011684,0.0011684
23,6507.1,0.24633,0.34028,1.00325,0.95142,1,0.97534,0.93763,0.20995,0.48096,0.53157,0.0011288,0.0011288,0.0011288
24,6775.63,0.24465,0.33434,1.00531,0.96381,1,0.97381,0.951,0.1895,0.37383,0.49112,0.0010892,0.0010892,0.0010892
25,7031,0.23935,0.32489,1.00044,0.96441,1,0.97966,0.96286,0.21,0.34972,0.52873,0.0010496,0.0010496,0.0010496
26,7290.38,0.22461,0.31987,0.98907,0.95285,1,0.97358,0.95309,0.24545,0.37205,0.5762,0.00101,0.00101,0.00101
27,7553.37,0.22507,0.3232,0.9867,0.96327,1,0.97334,0.95899,0.25695,0.36711,0.54122,0.0009704,0.0009704,0.0009704
28,7814.5,0.2238,0.32135,0.99503,0.96164,1,0.97284,0.95921,0.21785,0.35295,0.51476,0.0009308,0.0009308,0.0009308
29,8073.05,0.21861,0.3246,0.99138,0.96107,1,0.97208,0.96005,0.2157,0.40441,0.49361,0.0008912,0.0008912,0.0008912
30,8331.83,0.21087,0.30391,0.97862,0.96405,1,0.98125,0.96627,0.20811,0.32059,0.49061,0.0008516,0.0008516,0.0008516
31,8589.14,0.21373,0.31184,0.9774,0.97136,1,0.97381,0.95838,0.22009,0.37451,0.50769,0.000812,0.000812,0.000812
32,8860.05,0.20014,0.30485,0.97723,0.95418,1,0.98302,0.9658,0.22073,0.36208,0.50418,0.0007724,0.0007724,0.0007724
33,9115.8,0.19979,0.30569,0.97477,0.97589,0.98738,0.98184,0.97222,0.20077,0.30411,0.5014,0.0007328,0.0007328,0.0007328
34,9374.29,0.18586,0.30156,0.97337,0.97343,1,0.97381,0.95769,0.19344,0.34948,0.4868,0.0006932,0.0006932,0.0006932
35,9632.21,0.18385,0.296,0.96662,0.97589,0.98739,0.9766,0.95091,0.23655,0.34835,0.5364,0.0006536,0.0006536,0.0006536
36,9894.02,0.19051,0.29505,0.97593,0.96457,0.99598,0.97127,0.95633,0.20099,0.32579,0.5012,0.000614,0.000614,0.000614
37,10171.8,0.18549,0.28551,0.96896,0.96477,0.9878,0.98064,0.96132,0.27162,0.37875,0.53742,0.0005744,0.0005744,0.0005744
38,11778.1,0.18657,0.28576,0.96891,0.97092,0.9878,0.9755,0.95671,0.21831,0.37627,0.50307,0.0005348,0.0005348,0.0005348
39,12037.8,0.1794,0.27331,0.96315,0.96087,0.9878,0.97646,0.95681,0.21862,0.43321,0.50881,0.0004952,0.0004952,0.0004952
40,12299,0.17172,0.278,0.9619,0.97356,1,0.99286,0.98088,0.2136,0.32986,0.49139,0.0004556,0.0004556,0.0004556
41,12559.7,0.10921,0.30561,0.96887,0.96661,1,0.98499,0.96565,0.21143,0.46575,0.50075,0.000416,0.000416,0.000416
42,12826,0.08603,0.16687,0.9645,0.97616,0.99889,0.98635,0.97382,0.17341,0.26682,0.45978,0.0003764,0.0003764,0.0003764
43,13716.7,0.08585,0.15957,0.94352,0.9761,0.99615,0.99193,0.98099,0.16619,0.28871,0.46048,0.0003368,0.0003368,0.0003368
44,13975.2,0.08496,0.15848,0.94159,0.96394,1,0.99164,0.97776,0.17428,0.30117,0.44852,0.0002972,0.0002972,0.0002972
45,14233,0.07846,0.14978,0.9396,0.97603,1,0.9911,0.98327,0.17115,0.28464,0.44025,0.0002576,0.0002576,0.0002576
46,14482.9,0.07018,0.14123,0.94376,0.97524,1,0.9911,0.98102,0.17051,0.28713,0.44237,0.000218,0.000218,0.000218
47,14733.2,0.0692,0.13932,0.94101,0.97564,1,0.99037,0.98074,0.17063,0.29945,0.44128,0.0001784,0.0001784,0.0001784
48,14982.4,0.06316,0.13655,0.94102,0.97546,1,0.99269,0.98556,0.1776,0.31576,0.44459,0.0001388,0.0001388,0.0001388
